q,mean_val,stderr_val
0.0524,6.70812663523304e-7,6.59106230311131e-9
0.064,2.235494008117947e-6,2.2592614303981922e-8
0.0782,7.224515443894401e-6,7.280535274066627e-8
0.0955,2.4174925797535164e-5,2.4275028022636403e-7
0.1166,8.134879919873532e-5,8.162206639318428e-7
0.1425,0.0002701920974779624,2.71236522832339e-6
0.174,0.000894601409237461,8.84564966782392e-6
0.2125,0.002994226245097322,2.9806827053422708e-5
0.2596,0.00962570001850256,9.674505827226478e-5
0.3171,0.03327614519281042,0.00033315692496211936
0.3873,0.10951663588537636,0.0010965523595777309
0.4071,0.1450960503552057,0.0014351198134422622
0.428,0.1940630238737569,0.0019195911224026549
0.4499,0.27283045986655297,0.0027236390402299465
0.473,0.36189846269745307,0.0035270459739006645
0.4973,0.4650373845646546,0.004482015456007634
0.5228,0.6029565688370194,0.005820223471076042
0.5496,0.6779487941776695,0.006685919704208476
0.5777,0.6963379072035552,0.007322287969474219
0.6074,0.671549091523178,0.007073461228962662
0.6385,0.6725699020988486,0.007022098306966563
0.6712,0.6502268723667913,0.006695681899862196
0.7056,0.6717174405672924,0.0069354194232934705
0.7777,0.6545593767580964,0.00685950873821205
0.9499,0.6750421174055479,0.007060344091621
1.1603,0.6607735485734157,0.006944574611577579
1.4171,0.679645925291395,0.007103167484646712
1.4898,0.6591726526189499,0.006875092514593054
1.5662,0.6569868803596551,0.006902670905035669
1.6465,0.6939481197528405,0.0072579716267119725
1.7309,0.6751592161096028,0.0069028275954396675
1.8196,0.659088463044663,0.0065753325832584196
1.9129,0.5984809194710379,0.005862536932487983
2.011,0.4927332091756034,0.004858841965370273
2.1141,0.3611662964934039,0.0035953085984675747
2.2225,0.2607964800118994,0.0025857159081244664
2.3365,0.19587581229365394,0.0019475333887618023
2.4563,0.14665414061173415,0.0014734972855732235
2.5822,0.10721601984617926,0.001075265914574986
2.7183,0.07727371880818583,0.000768487100475371
3.3201,0.02405026018556093,0.0002452144858929367
4.0552,0.007019061265695444,7.190879944728157e-5
4.953,0.002187497016132023,2.2240911665592533e-5
6.0496,0.0006303871331628387,6.222808559553172e-6
7.3891,0.0001988436771837497,1.9837481960962904e-6
9.025,5.756247911490577e-5,5.673517048272061e-7
11.0232,1.8502470385681107e-5,1.8282773655807792e-7
13.4637,5.37385657400401e-6,5.4683192543346e-8
16.4446,1.5882641784492082e-6,1.603734843192024e-8
20.0855,4.821905396117607e-7,4.787053053997805e-9
