Cycle 1,Cycle 2
0.0,0.0003875
0.0,0.000375
0.0,0.00045
0.0,0.0004125
0.0,0.0004125
0.0,0.0004
0.0,0.000475
0.0,0.0006375
0.0,0.0006375
0.0,0.000725
0.0,0.000875
0.0,0.00085
0.0,0.0011125
0.0,0.0012375
0.0,0.0013
0.0,0.0015625
0.0,0.0020375
0.0,0.0023125
0.0,0.002425
0.0,0.0033375
0.0,0.004075
0.0,0.0043
0.0,0.0054625
0.0,0.0059875
0.0,0.0077875
0.0,0.009425
0.0,0.0096375
0.0,0.0113375
1.25e-5,0.0117
1.25e-5,0.013575
0.0001,0.0144125
0.0001375,0.0155625
0.0005,0.0172375
0.001125,0.017375
0.0023375,0.01785
0.0044375,0.018225
0.007975,0.01755
0.0144375,0.0179625
0.0211625,0.018125
0.0283125,0.0196625
0.036375,0.0198125
0.039575,0.01995
0.0387,0.022425
0.0386125,0.0208625
0.0386875,0.02285
0.0428,0.0224625
0.04605,0.0226625
0.0472375,0.0229625
0.0477375,0.0225875
0.043725,0.022625
0.0437625,0.02175
0.0455375,0.0226
0.0477375,0.0227125
0.0447625,0.022875
0.0424625,0.0227875
0.039375,0.0234125
0.0396125,0.0229375
0.0406375,0.0214125
0.039325,0.020675
0.034925,0.01955
0.0293875,0.0199625
0.0214375,0.0187
0.0139,0.0183875
0.0081375,0.017925
0.004575,0.017925
0.002325,0.0174625
0.0011875,0.017525
0.0004875,0.01755
0.0002875,0.0150375
5.0e-5,0.0144125
0.0,0.01335
2.5e-5,0.0124625
0.0,0.0110625
1.25e-5,0.0104125
0.0,0.00845
0.0,0.0078625
0.0,0.006625
0.0,0.0051375
0.0,0.004875
0.0,0.004
0.0,0.003475
0.0,0.002675
0.0,0.0023625
0.0,0.002225
0.0,0.001675
0.0,0.00135
0.0,0.00145
0.0,0.0009
0.0,0.00085
0.0,0.000775
0.0,0.00075
0.0,0.000575
0.0,0.00045
0.0,0.000325
0.0,0.00035
0.0,0.0004
0.0,0.00025
0.0,0.0003875
0.0,0.00025
0.0,0.000275
