Cycle 1,Cycle 2
5.0e-5,0.0031375
5.0e-5,0.003025
6.25e-5,0.002975
2.5e-5,0.0034375
7.5e-5,0.0031625
6.25e-5,0.0031375
0.000125,0.0035375
0.0001125,0.003575
0.0001375,0.0037125
0.0001125,0.00365
0.0002,0.0043375
0.000325,0.00475
0.000275,0.004875
0.0004375,0.005225
0.000425,0.0057
0.000575,0.0058875
0.0007375,0.00575
0.0010625,0.0063375
0.0014,0.007075
0.0013375,0.007425
0.0019125,0.0080625
0.0023,0.0083875
0.0027375,0.008725
0.00335,0.010125
0.0048375,0.010125
0.0058,0.009975
0.0064875,0.010325
0.0085,0.011725
0.0102625,0.0113375
0.011975,0.0125375
0.013425,0.011775
0.0147625,0.0124375
0.016925,0.013075
0.01845,0.013875
0.01895,0.0135875
0.020575,0.0139
0.01975,0.014225
0.0206875,0.0154
0.0210625,0.0148375
0.0205125,0.0152375
0.02125,0.015975
0.0229625,0.0160875
0.0231375,0.0165
0.0250125,0.0165625
0.0253625,0.0167875
0.025725,0.0162125
0.0268375,0.0170875
0.0268,0.0172625
0.0256625,0.0169125
0.025175,0.0175125
0.0257125,0.01725
0.02485,0.01675
0.0261875,0.0167625
0.025375,0.0180625
0.0263875,0.0170375
0.0255375,0.017
0.0247125,0.016775
0.024325,0.0167875
0.022625,0.0176875
0.0218625,0.0158875
0.02095,0.016325
0.0203625,0.0148375
0.0205125,0.0150875
0.0201625,0.0138125
0.0195875,0.0136375
0.0192125,0.01425
0.0180125,0.012775
0.01665,0.013
0.0153,0.012625
0.0136375,0.0118
0.0118875,0.0115875
0.010325,0.0115
0.0094,0.0115625
0.007425,0.011775
0.0057,0.0100875
0.0047875,0.0099
0.004075,0.0106
0.0032125,0.0092375
0.002125,0.008725
0.002025,0.0081625
0.0015,0.0071125
0.0012125,0.0071
0.0012,0.0061
0.000725,0.0062375
0.0006625,0.0059
0.000525,0.005225
0.0006125,0.0047625
0.00045,0.00435
0.0002625,0.0045375
0.0002,0.004525
0.0002,0.0042125
0.0001125,0.004075
0.00015,0.003625
5.0e-5,0.0039
3.75e-5,0.0035
3.75e-5,0.00355
0.0001,0.003125
5.0e-5,0.0036
0.0001,0.003025
0.0001125,0.0029625
