Cycle 1,Cycle 2
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,3.75e-5
0.0,3.75e-5
0.0,0.0003
1.25e-5,0.00075
0.0001125,0.0024625
0.0005375,0.0075
0.002575,0.0170625
0.009975,0.032375
0.0281,0.0507625
0.0532875,0.0593
0.074275,0.0596
0.0738625,0.0594
0.0806125,0.069075
0.0908875,0.0734
0.0852,0.0668625
0.0869125,0.0689
0.0917875,0.0716
0.0773375,0.06975
0.0747,0.0602
0.07375,0.0590375
0.0556125,0.0586875
0.0273,0.051325
0.0099375,0.032475
0.0025375,0.017725
0.0005375,0.0077
0.0001,0.0025125
5.0e-5,0.0008
0.0,0.0002875
0.0,6.25e-5
0.0,1.25e-5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
