Cycle 1,Cycle 2
0.0,6.25e-5
0.0,6.25e-5
0.0,8.125e-5
0.0,8.75e-5
0.0,7.5e-5
0.0,7.5e-5
0.0,0.0001
0.0,0.00015
0.0,0.00011875
0.0,0.00019375
0.0,0.00018125
0.0,0.0003
0.0,0.0004125
0.0,0.000425
0.0,0.0007125
0.0,0.0009375
0.0,0.00136875
0.0,0.00174375
0.0,0.0022125
0.0,0.00304375
0.0,0.003875
0.0,0.00479375
0.0,0.00609375
0.0,0.00780625
6.25e-6,0.008975
1.25e-5,0.01035
4.375e-5,0.01080625
0.00013125,0.012425
0.000375,0.01276875
0.00095,0.01344375
0.002075,0.013275
0.0042,0.014675
0.00786875,0.0152125
0.01223125,0.01646875
0.0175,0.0177625
0.02169375,0.01809375
0.02336875,0.0183625
0.023875,0.0190875
0.0249625,0.01996875
0.0273,0.01960625
0.0298875,0.0211875
0.03095,0.02145625
0.03065,0.0213875
0.03185,0.02146875
0.03463125,0.022275
0.0347375,0.022475
0.03394375,0.02255
0.03659375,0.02308125
0.03558125,0.02370625
0.0355,0.02310625
0.03505,0.02219375
0.03669375,0.02300625
0.03549375,0.0232625
0.034475,0.02295625
0.034525,0.02260625
0.0338,0.02185625
0.0324125,0.0218
0.03104375,0.0220125
0.03086875,0.02126875
0.03058125,0.021025
0.02693125,0.0198125
0.0243375,0.01940625
0.02371875,0.0193125
0.02375,0.0188375
0.02155,0.018225
0.017575,0.01773125
0.01101875,0.0169375
0.0076875,0.01524375
0.00395,0.014225
0.0021125,0.0132875
0.000975,0.0128875
0.00035,0.013125
0.00010625,0.01255625
6.25e-5,0.01165625
1.25e-5,0.01028125
0.0,0.0093875
0.0,0.0076125
0.0,0.0061375
0.0,0.00528125
0.0,0.00375625
0.0,0.0029875
0.0,0.00240625
0.0,0.00185
0.0,0.00131875
0.0,0.001025
0.0,0.0008
0.0,0.00054375
0.0,0.00048125
0.0,0.0003625
0.0,0.00026875
0.0,0.000275
0.0,0.00016875
0.0,0.00013125
0.0,0.00011875
0.0,0.00010625
0.0,0.00015
0.0,0.0001
0.0,0.00010625
0.0,0.00010625
0.0,0.00011875
