q,s,bin,autocorr,jmean,jerr
0.006297,12.076898872305307,5,-0.004792080183232333,2.595125056544782e-7,3.042542693285427e-9
0.006567,11.976846453340922,10,0.0006679391305243693,3.3436040448415214e-7,4.149198398789431e-9
0.006849,11.876646825888013,5,-0.002700082336454373,4.3550961230983103e-7,5.254740947751675e-9
0.007142,11.776817430689047,7,-0.0021883381889971384,5.520255718487066e-7,6.4009115770943444e-9
0.007448,11.67683909556574,5,-0.00012110161004720387,7.251837385377352e-7,8.441437608122328e-9
0.007767,11.576894699277162,4,-0.002974233133402966,9.20141718227853e-7,1.0957608687367186e-8
0.0081,11.476851110875232,4,-0.002020777524512962,1.177660045380225e-6,1.3492201223628804e-8
0.008447,11.376885653507147,5,-0.0067988341484955354,1.5731358536979615e-6,1.868587629739521e-8
0.008808999999999999,11.276883757468712,9,-0.012035543723748508,1.977748397241709e-6,2.3867859981496288e-8
0.009186999999999999,11.176755704300769,3,-0.0034146033192501975,2.483167833198929e-6,2.856737185784719e-8
0.009581,11.076682429031415,5,0.0007112259450505102,3.2473980420226246e-6,3.821729674078202e-8
0.009991,10.976823187326584,4,-0.00705524809635505,4.119233563684198e-6,4.7989472481823745e-8
0.01042,10.876631186891542,4,-0.012950834025998169,5.339661496832873e-6,6.310281151965263e-8
0.010870000000000001,10.77587363317553,6,0.000835324546561229,6.954316530238924e-6,8.108763022240184e-8
0.011330000000000002,10.677099529317884,3,-0.005094375063394931,8.649570995441447e-6,9.785757718709866e-8
0.01182,10.576200722948533,5,-0.0025086122081713967,1.1359610337650917e-5,1.3775467822116097e-7
0.012320000000000001,10.477465768475593,5,-0.0052763783929327705,1.4789989769637154e-5,1.7498868746612322e-7
0.01285,10.377089065060257,4,-0.00018793582290912915,1.883771296674587e-5,2.2059535647237065e-7
0.0134,10.277210332921163,7,-0.0024424972805881366,2.4504167124496843e-5,2.876412408894235e-7
0.013980000000000001,10.176230279022937,4,-0.008573498713025382,3.1543283969472136e-5,3.591260701392764e-7
0.014580000000000001,10.076084412947958,6,-0.010471988226091682,4.035532755369264e-5,4.808430908202371e-7
0.015200000000000002,9.976840054118778,3,0.00033469981321731693,5.0960713689808715e-5,5.79598041355362e-7
0.015850000000000003,9.877049075985886,4,-0.002932169563550949,6.714491546768567e-5,7.704943652129882e-7
0.016530000000000003,9.776940334800623,5,-0.0017276630530128686,8.602238476187324e-5,1.0231778070062118e-6
0.017240000000000002,9.676717342287251,4,-0.0006905779956061358,0.00010949126459841219,1.2701632593168803e-6
0.017980000000000003,9.576560099114166,5,-0.006211412959010081,0.0001413758456167372,1.7161747375109552e-6
0.018750000000000003,9.476626965669062,3,-0.0019397558961259712,0.00018064436615522722,2.0547494351646347e-6
0.01955,9.377056517866864,5,-0.003691367079450016,0.00023059600398558217,2.677627533504778e-6
0.020390000000000002,9.276800293322376,6,-0.0006544058088411633,0.00029352523049340365,3.4772522061654452e-6
0.02126,9.177226856341859,5,-0.0075989125753802905,0.00039050616509063755,4.593861444438892e-6
0.022180000000000002,9.076269253445428,4,-0.010916155042660225,0.0005049238520659235,5.825186875557027e-6
0.02313,8.976322367132981,6,-0.0017628069247319794,0.0006386473208908517,7.361718460970261e-6
0.024120000000000003,8.876443634993887,4,-0.00344496604345851,0.0008249098801627758,9.575866584892569e-6
0.025150000000000002,8.776789800189679,5,-0.0023311358875877063,0.001053599269351582,1.2488865353447192e-5
0.026230000000000003,8.67658934263355,4,-0.010626375488291418,0.001365863837844984,1.57270858312887e-5
0.027350000000000003,8.57694453913687,5,0.0008454700678785727,0.0017785096750839275,2.047433354923361e-5
0.028520000000000004,8.47711782799548,4,0.0004964809541838514,0.0022549704865701837,2.6117254357454316e-5
0.029750000000000002,8.376494034954028,4,-0.0020095489384446925,0.0029694226414539934,3.3793482115977715e-5
0.031020000000000002,8.27687236973233,9,-0.004307464872971406,0.0037479386546052135,4.612198269292077e-5
0.032350000000000004,8.176824513261796,6,-0.016255358087155905,0.004754981094945972,5.4567612105204665e-5
0.033740000000000006,8.076566482273703,6,-0.0010870105512074538,0.0062284833706295365,7.342877998368292e-5
0.03518,7.976967131560039,5,-0.0045500004924363905,0.008034437058869432,9.28216768926459e-5
0.03669,7.876812902439493,7,0.0005187395877695304,0.010135621537437054,0.00012009798683897843
0.03826,7.776958406570384,4,-0.002644597000965237,0.013201399385859071,0.00015294412007039494
0.039900000000000005,7.676935580769099,6,-0.005608018966277373,0.017392219870407375,0.00020888353890294596
0.04161,7.576929819983589,4,-0.00014379523551838236,0.021508062467177846,0.0002477164613225257
0.0434,7.4765553450826445,5,0.0006090190287768011,0.028268321980031902,0.00033097395979627184
0.04526,7.376549584297133,7,-0.008957837681664738,0.0370883051873822,0.00044837262084107527
0.04719,7.277034349789206,6,0.00033032736391953746,0.046927279486773624,0.0005666046108849564
0.04922000000000001,7.176661969382009,7,-0.0005791894201209748,0.060867917720474715,0.0007487846234113986
0.05133000000000001,7.076629678478376,5,-0.00020440200983258986,0.0781509642221202,0.0008988024071512495
0.05353,6.97661755777693,5,0.00031759842445781253,0.10062395578329668,0.0011954639320366203
0.05582,6.8767886612546,8,-0.0038446543493056823,0.13039284810932195,0.001610809833469931
0.058210000000000005,6.776876475912999,5,0.0009391981713391032,0.17228012792988587,0.0021060923693268507
0.06071000000000001,6.676663219744805,4,-0.0037727952630283775,0.2190033913330469,0.002601528855310834
0.06331,6.576727364678503,6,-0.006166598813465905,0.2802383528991211,0.0033491280788466317
0.06602000000000001,6.476840205220011,4,-0.004064844837229792,0.37500157208670143,0.004521101926170827
0.06885000000000001,6.37681466536356,5,-0.00751056335709037,0.4872906308036019,0.006086727637218713
0.0718,6.276832612388104,4,-0.00389536582116587,0.6155738683720475,0.00745955590420237
0.07241,6.2566715634775445,8,-0.002098507351428025,0.6452069928807397,0.008385074701540329
0.07302,6.236679645897435,6,0.0008635044682978859,0.6856354261278734,0.00877237538133061
