q,mean_val,stderr_val
0.3504,0.2956603500529597,0.002912271251093247
0.3761,0.4777770809089212,0.004616802690924671
0.3791,0.5059365972088506,0.004997679583144841
0.3858,0.5508908218802359,0.005383108878953869
0.3927,0.6426579244339666,0.006392945038291932
0.3997,0.7067653546733275,0.006918506335607398
0.4068,0.7424869382921947,0.00725641018936965
0.4141,0.8216927608693166,0.008225070854264434
0.4215,0.8682456171578231,0.008623932024530004
0.429,0.9710088376286531,0.009578731565842458
0.4367,1.0498501104789348,0.010452009475534976
0.4444,1.0915938629841304,0.010995500330360177
0.4524,1.1560824543024941,0.011860906732861849
0.4604,1.230538404468825,0.01257077524602835
0.4686,1.2927195558899756,0.012873084070253433
0.477,1.3261279758660132,0.01321566533752612
0.4855,1.3363892033723768,0.013706307703157205
0.4942,1.3159908940645682,0.013273887094411166
0.503,1.3125720969491792,0.013373802815688986
0.5119,1.2941295916450282,0.013433318068773731
0.5211,1.2959607990411037,0.013228003913210148
0.5375,1.2570415463433833,0.012647437517376818
0.5769,1.2337655418425972,0.012512931782118607
0.6192,1.2162381802484772,0.012385702452361124
0.6646,1.2157253708169762,0.012440947488543118
1.0157,1.2280356919702142,0.012486364137251505
1.0901,1.2530231292272251,0.012816630685723513
1.17,1.2528419339058965,0.012912969541528133
1.2557,1.2405484372292475,0.01296860902185168
1.3477,1.3104355828398546,0.01368839404495881
1.3583,1.278247733482955,0.012980652610000289
1.3825,1.320096272809269,0.013501880595915774
1.4072,1.339772299072695,0.013376445243008583
1.4323,1.353910287880608,0.013702602719931557
1.4578,1.3847021787312548,0.014144400942499158
1.4838,1.3418697075392585,0.013612235856236794
1.5103,1.3200975884125645,0.0131287428750134
1.5372,1.3116879552592207,0.013177901401962901
1.5646,1.262355506708813,0.012556764248576697
1.5925,1.128661438449147,0.011248876271613443
1.6209,1.053845302401799,0.010262729286800278
1.6498,0.9038223808508301,0.008919720910584582
1.6792,0.8342494668748888,0.008251485630043104
1.7092,0.7247038514668649,0.0071879480504487975
1.7396,0.6066884211276781,0.006072818757017278
1.7707,0.54284419614305,0.005442527132944311
1.8022,0.46537426754624167,0.004621004887718182
1.8344,0.39946161166419863,0.0039609419505615305
1.8671,0.35500989289750334,0.0035400100700069526
1.8895,0.32456955274665955,0.003238385646929656
2.0279,0.1943774761581425,0.0019148889962368166
