q,mean_val,stderr_val
0.1274,-0.0011155617728427231,2.6315415584444512e-6
0.1368,-0.0017094871100956737,3.267872448800273e-6
0.1468,-0.0026077065116743435,4.005839160098754e-6
0.1493,-0.0029058807062818503,4.1778138726201505e-6
0.152,-0.0032267724522808366,4.414833757582755e-6
0.1547,-0.003575766369240346,4.6311355954602185e-6
0.1575,-0.003987745783871667,4.7963618022447574e-6
0.1603,-0.004410120821670172,4.896289546581232e-6
0.1631,-0.004882756093166915,4.959490908903158e-6
0.166,-0.005383945704753338,5.064099294818449e-6
0.169,-0.0059339505961812184,5.08998126786856e-6
0.172,-0.00650391459964568,5.1167035954729435e-6
0.1751,-0.007105245296903775,5.20937731514635e-6
0.1782,-0.00773131520117323,5.2129849894020564e-6
0.1814,-0.008419654153905673,5.237841169792451e-6
0.1846,-0.009135643924703571,5.250988737223771e-6
0.1879,-0.009915662913821266,5.26940155355624e-6
0.1912,-0.010717967946373778,5.327038919273628e-6
0.1947,-0.011606738192213178,5.3420279485146776e-6
0.1981,-0.012528367413394564,5.535537867485257e-6
0.2017,-0.013520575384969365,5.4871416455736e-6
0.2053,-0.014593421506982708,5.592114728935396e-6
0.2089,-0.01570677682556502,5.798613049727634e-6
0.2126,-0.01695434838999028,5.830792926889261e-6
0.2164,-0.018266051356318983,5.971777413374218e-6
0.2203,-0.019664694406072474,6.076124039977407e-6
0.2242,-0.021179912186342943,6.260935785726224e-6
0.2282,-0.022800167475583867,6.509568709561897e-6
0.2323,-0.024607780079890604,6.6413961227252785e-6
0.2364,-0.02647381768012483,6.771885348829815e-6
0.2407,-0.02852829139422447,7.01150082256247e-6
0.2449,-0.030709231001932777,7.08604171644732e-6
0.2493,-0.03305515004414146,7.1062241302385735e-6
0.2538,-0.03556938053312144,7.050842675112955e-6
0.2583,-0.03822722232061015,7.068099073912871e-6
0.2629,-0.04102208372496685,7.063365583310634e-6
0.2676,-0.04403318008832811,7.06690270260044e-6
0.2732,-0.04781393003316988,7.0059229240824534e-6
0.2932,-0.06285930290124758,7.05433317739516e-6
0.3147,-0.0822025474221496,7.003971786800681e-6
0.3377,-0.10723159690048432,6.984612663674758e-6
0.3625,-0.13974955694530436,6.999328603876599e-6
0.389,-0.1823348507828234,6.988612699411434e-6
0.4175,-0.23858283017202603,6.941518239523295e-6
0.4481,-0.3137470560952525,6.956606439187234e-6
0.481,-0.4157498451766336,6.975698713834557e-6
0.5162,-0.5572361957372094,6.95321631927273e-6
0.554,-0.7599616289835622,6.888399433109397e-6
0.5946,-1.068464058939007,6.965425153185809e-6
0.6382,-1.5956979944980358,6.933115284612111e-6
0.6849,-2.9448080219773884,6.978052121024234e-6
1.0468,-1.956821213899471,7.111808000647265e-6
1.1235,0.5541034347704018,6.9425005129085955e-6
1.2058,2.142367810039599,6.976166418246445e-6
1.2941,3.4247688372050806,6.904700790868898e-6
1.3889,4.555999366028252,6.969314913642367e-6
1.4907,5.599371473808906,7.02010132820329e-6
1.5999,6.586933692780304,6.979512072302882e-6
1.7171,7.537129477867685,7.0029083052132425e-6
1.8429,8.461310108302103,6.93557981434394e-6
1.9779,9.366961441017432,6.96751625693572e-6
2.1228,10.259141407721787,7.039117963579302e-6
2.2783,11.1412955135885,6.947944836192996e-6
2.4453,12.015992453563422,6.99619252298676e-6
2.6244,12.88508843158778,7.153533988646999e-6
2.6698,13.095458360285134,7.130717553654859e-6
2.7174,13.311761615234378,7.108845047189236e-6
2.7659,13.527827305487607,7.081721811052327e-6
2.8152,13.74369445732571,7.170691140301807e-6
2.8654,13.959337640895026,7.194875992017842e-6
2.9165,14.174811519637716,7.107252535610416e-6
2.9685,14.390063518436017,7.061265033594168e-6
3.0215,14.605111554383452,6.814205411930343e-6
3.0754,14.820011821043654,6.756606061697107e-6
3.1302,15.034692007879311,6.5193978377203095e-6
3.186,15.249261991765067,6.327068424849958e-6
3.2428,15.46364152987682,6.2490322095392915e-6
3.3007,15.677870541484223,6.029123592880481e-6
3.3595,15.892005456224002,5.916373547976407e-6
3.4194,16.10599652366411,5.777459394561434e-6
3.4804,16.319883276565214,5.597920521497216e-6
3.5425,16.533655005501117,5.615706592868202e-6
3.6056,16.747347086166673,5.486750229037365e-6
3.6699,16.960974626792428,5.48273221050606e-6
3.7354,17.17449016066778,5.3800250418149395e-6
3.802,17.387938452172573,5.3562770123530305e-6
3.8698,17.601318256146833,5.24475841264365e-6
3.9388,17.81461621529911,5.109802744791758e-6
4.009,18.027850129853963,4.966448870878915e-6
4.0805,18.24101261431802,4.742295083781986e-6
4.1533,18.454114000142695,4.54066377366799e-6
4.2273,18.667154796187628,4.291541105516333e-6
4.3027,18.880133209039304,4.108374378337376e-6
4.3795,19.093052942494126,3.926277604244463e-6
4.4576,19.30592568478768,3.7086239961272406e-6
4.537,19.51876961951685,3.516131127056874e-6
4.618,19.73152777348814,3.349309359427704e-6
4.7003,19.944294403647213,3.1366783154476478e-6
4.7841,20.156977387272512,2.973369292274612e-6
5.0841,20.888658468114173,2.484662214923855e-6
5.4566,21.73880708780631,1.9583600434188715e-6
5.8563,22.58863336687557,1.6356782223521193e-6
