a,mean_val,stderr_val
0.1000,0.08203842522246552,0.0008230938905434152
0.1086,0.09796765524624876,0.0009758431892195998
0.1171,0.1139352582169279,0.0011363415819039186
0.1257,0.1310971429694493,0.0013107047204027678
0.1343,0.153042081705382,0.001514265428090263
0.1429,0.17433271788977409,0.0017456148693987777
0.1514,0.19206173506774465,0.0019317150354554097
0.1600,0.2166008597314978,0.0021569246192412205
0.1686,0.2513290214343925,0.0024725572346924237
0.1771,0.2753523897186704,0.0027703299281806406
0.1857,0.3070171372239974,0.0031182074744309147
0.1943,0.32756982594900946,0.0032823017231912153
0.2029,0.37009117778198275,0.0037049005731402095
0.2114,0.40800722277552787,0.004105135636138445
0.2200,0.4464485487957124,0.004517708603067714
0.2286,0.4922901795410586,0.004889447472699185
0.2371,0.5381448144204288,0.005402989963768973
0.2457,0.5742129020321721,0.005675193522097835
0.2543,0.6378162077274638,0.006378738169197324
0.2629,0.6728206061841105,0.006745331844681872
0.2714,0.7135118684569892,0.0071280930540080474
0.2800,0.7704718446080897,0.007705100913601546
0.2886,0.8391834256285546,0.008256646365032894
0.2971,0.9190080734351295,0.00906582098799701
0.3057,0.978346952606541,0.009936619728177207
0.3143,1.0676029588601446,0.01082887646240482
0.3229,1.152234746740578,0.01136997255337163
0.3314,1.233533497154825,0.012327760486924794
0.3400,1.3577062714069679,0.013575615045134102
0.3486,1.4368112075013189,0.01434160489582375
0.3571,1.561037945321241,0.015156759839090001
0.3657,1.6192292473448004,0.01608101379144006
0.3743,1.7929859234153118,0.01787463209986306
0.3829,1.925484357879826,0.019058598497273732
0.3914,2.0365444019317795,0.01976091975187929
0.4000,2.0779492365500816,0.0204159353511479
0.4000_S10Ntau2,2.1018628173412295,0.02066095154668834
0.4086,2.0916849364319514,0.020785142373235768
0.4171,2.0534400702153803,0.020102824854687916
0.4257,2.1243247077446132,0.02097846857971437
0.4343,2.0577054192387543,0.02085668730977357
0.4429,1.9663400081021984,0.019527494227748004
0.4514,1.9157441103959683,0.019394236686218484
0.4600,1.9600193511389,0.01970424996163293
0.4686,1.8680011251846895,0.018767798864814392
0.4771,1.883417785003232,0.01888400998212072
0.4857,1.8636073255442105,0.018834986398747543
0.4943,1.7757073926641926,0.01794263435601281
0.5029,1.8033714830401804,0.018449458790933786
0.5114,1.8047198122075665,0.018356241353187946
0.5200,1.7881570034490497,0.017876497591786528
0.5286,1.7610171965455448,0.01745547070582542
0.5371,1.7369112329907017,0.017394421224607434
0.5457,1.7390404912606952,0.017372121829694574
0.5543,1.716949527504423,0.01708646466101267
0.5629,1.7050196623929907,0.017119410892378173
0.5714,1.7000466150698084,0.016894812386940163
0.5800,1.7354195251109303,0.017321395040345373
0.5886,1.7235152041892965,0.0174137793784814
0.5971,1.7024253451924611,0.01743629346840086
0.6057,1.7142846631779851,0.01734176567863512
0.6143,1.731061385092187,0.01748594616881624
0.6229,1.6828813248439416,0.016833286358306415
0.6314,1.6689055808351965,0.016516286421458918
0.6400,1.6675938319258734,0.016539777065474222
0.6486,1.661061470397644,0.016586445984358825
0.6571,1.6763372973240926,0.01664836238195899
0.6657,1.6454790162503352,0.01664484709647192
0.6743,1.6747711332058888,0.016804298255504575
0.6829,1.61653933218373,0.016084533229866152
0.6914,1.652322886802988,0.01658623984925052
0.7000,1.6383772625368926,0.016607718930103897
