a,mean_val,stderr_val
0.1000,-0.08074865664110747,0.0001265856671302835
0.1086,-0.09540740051938969,0.00013833027300090312
0.1171,-0.11117083837630576,0.00014917805745194227
0.1257,-0.12843754834375054,0.00016001934584847186
0.1343,-0.1470007176995497,0.0001728945522837342
0.1429,-0.16632279065690178,0.00018452929717506186
0.1514,-0.18733766008373853,0.00019368513966508952
0.1600,-0.21000684990668078,0.00020568658382317113
0.1686,-0.2337464794505988,0.00022156297977461196
0.1771,-0.25863339895228643,0.00023191044120428211
0.1857,-0.2851713117985877,0.00024488218183079573
0.1943,-0.31346065589100236,0.00025294600355550516
0.2029,-0.3429338304327488,0.00026886250670727437
0.2114,-0.3743138602336723,0.0002822993009964999
0.2200,-0.40610151789687254,0.00029529873391834124
0.2286,-0.43965134625487445,0.00031008907341808367
0.2371,-0.4753023063219434,0.00032420929143027726
0.2457,-0.5130699425690596,0.0003348978430154805
0.2543,-0.5505551632670369,0.0003529585061407688
0.2629,-0.590522514097167,0.00036251461417108197
0.2714,-0.6323252692647299,0.00037331589176695643
0.2800,-0.6774503611087002,0.00038793080138776136
0.2886,-0.7239599884041121,0.00040485949214325706
0.2971,-0.7716809507851227,0.0004236776362752378
0.3057,-0.8230566340431651,0.0004371417891578846
0.3143,-0.872749746234433,0.00045664716054502483
0.3229,-0.9241919398362033,0.00047440183581839193
0.3314,-0.9832323638487472,0.0004908528883392165
0.3400,-1.0413895789090144,0.0005149662762234589
0.3486,-1.1035821299791893,0.0005297558126402698
0.3571,-1.162094057795951,0.0005521824598527223
0.3657,-1.2312976731794425,0.0005623802325369631
0.3743,-1.2982755782567235,0.0005917854963335419
0.3829,-1.371204606741303,0.0006132617452171713
0.3914,-1.443723113049728,0.0006306999822623129
0.4000,-1.522972193338887,0.0006370790796685883
0.4000_S10Ntau2,-1.5222553883654901,0.0006407344290284284
0.4086,-1.598762448092155,0.000639181227649056
0.4171,-1.6767616766471303,0.0006333107987728723
0.4257,-1.7525820797992522,0.0006441489857767096
0.4343,-1.8320499576620088,0.0006339682054167569
0.4429,-1.9076649166943103,0.0006197338027990544
0.4514,-1.984470450162258,0.0006117086569076486
0.4600,-2.0567418492821283,0.0006187369564608057
0.4686,-2.132066246827615,0.0006040382544783719
0.4771,-2.204767756064093,0.000606525704158475
0.4857,-2.276785078634988,0.0006033274450666504
0.4943,-2.3494229959513415,0.000588927153295991
0.5029,-2.4219264643578704,0.0005934969289823839
0.5114,-2.492107100637373,0.0005937187578474856
0.5200,-2.5636803430778223,0.0005909880524004241
0.5286,-2.63683029594781,0.0005864860352078099
0.5371,-2.706956703996179,0.0005824580998367176
0.5457,-2.777896038741157,0.0005828150046248254
0.5543,-2.8484450696257344,0.0005791014354276229
0.5629,-2.920412316635584,0.0005770860457733685
0.5714,-2.991706982073509,0.0005762438349810691
0.5800,-3.0611045963495935,0.0005822079304698139
0.5886,-3.131281990712891,0.0005802076312519425
0.5971,-3.201064036105284,0.0005766468384650332
0.6057,-3.2716191923524947,0.0005786518514402327
0.6143,-3.340046410508614,0.0005814764247305678
0.6229,-3.4118569176637283,0.0005733273009095945
0.6314,-3.4822831445037177,0.000570941695778013
0.6400,-3.5530091717744274,0.0005707172734448578
0.6486,-3.6210182659095875,0.0005695983589789979
0.6571,-3.690904656351179,0.0005722114990836832
0.6657,-3.7611307438428287,0.0005669203562193798
0.6743,-3.830615417855169,0.0005719441344737466
0.6829,-3.900326976037078,0.0005619129164055725
0.6914,-3.9701363384137904,0.0005680980994522325
0.7000,-4.039572959773291,0.000565695642255816
