q,re_mean1,re_err1,im_mean1,im_err1,re_mean2,re_err2,im_mean2,im_err2
0.0051909999999999994,0.14679493354473908,0.00031325608713452516,0.0009766873895888845,0.00031185547250077515,0.14654665386843746,0.00031270751007902845,0.0008414319072786092,0.00031229838357080817
0.005646,0.18869103094067796,0.00031374448010127126,-0.0007743129860557646,0.00031147980637411503,0.18844015133450126,0.0003101144943738386,-7.171745123834792e-5,0.00031227818904358307
0.00614,0.24323107121642562,0.0003095829066459292,-4.087325734414775e-5,0.0003124513565719682,0.24326071288651124,0.0003131649527130716,-0.0005032162160455586,0.0003110455877348039
0.006678,0.3145325640760765,0.00031146333772878086,-5.346760241696793e-5,0.00031102964912324934,0.31306826162590223,0.00031358528567674334,-0.0010568135732238442,0.0003112299548752878
0.007261999999999999,0.4031669279955051,0.00031096237629652033,-0.0009300232956083149,0.00031233758624788746,0.40262078119431316,0.0003118129211750582,0.0009410793676600144,0.0003138661217457251
0.007522999999999999,0.44728753908286945,0.0003081623206442425,0.000249821944714762,0.00031041114315146396,0.447450729423003,0.00031445222817254434,-0.00047174381827549576,0.0003147586008763134
0.007555,0.4533259835113782,0.0003094547727007438,-0.0010128263833369092,0.00031252016939499217,0.45216902394791825,0.0003096036225573615,9.96672712703921e-5,0.00031359508255745204
0.007586,0.45814964460681856,0.00030931096390003664,-0.0011346090769389023,0.000309717459020885,0.4590273198879271,0.00030770988022998003,0.0009778341060678515,0.0003140099634062651
0.007618,0.46473523965563207,0.00031081233195593365,-0.0011510522473873505,0.000313289108425458,0.46416889286162377,0.0003064099983811919,2.2784506360680857e-5,0.0003120839565073959
0.007682,0.4765549008852553,0.0003061125620451253,-0.0010983099431765451,0.00030737093078355354,0.4768218225770519,0.0003045709558202986,0.001176214055211921,0.00031732233328746125
0.007715,0.4829601582342915,0.00030755929091107317,-0.0006439714290906333,0.0003100661428074654,0.4813385800023889,0.00030753832152301166,0.0007544069187180996,0.00031428795403869836
0.0077469999999999995,0.48730922905885155,0.00030462464956124727,8.317149179887194e-5,0.0003113452308293568,0.4874746492251139,0.0003071204686609248,0.0013222968864081417,0.0003118615882063168
0.00778,0.49420987113192366,0.00030083764399084284,-0.00039487459560567413,0.0003082096326000859,0.4940508344790167,0.0003050701830805776,-0.000258714057402608,0.0003116504829132127
0.0078119999999999995,0.500327076732463,0.0003014827180758487,0.0007746768749797818,0.0003118595130958477,0.4999641008136585,0.00030217223567447957,0.00033596098081317016,0.0003120184314644274
0.007845,0.5054412628059693,0.00029897262781813255,6.044142777626211e-5,0.0003107238230813679,0.5048100982419063,0.00029860934089579355,0.00062666519083258,0.0003106656425642286
0.007878,0.5119357539870157,0.0002996665797276238,0.0004384902910651972,0.0003104147712754529,0.5107330592931129,0.0002981798642655755,-0.0003753175866248626,0.00031413179804865336
0.007898,0.5142901297964673,0.00029815695728922396,-0.00024678416284249074,0.00031474905105465076,0.5150248908689875,0.00029544454573618206,0.0003175385730746629,0.0003095744066224834
0.007911,0.5171935401314643,0.00029550854456798645,-0.0008252671564569145,0.0003097438663782643,0.517364788315574,0.0002963606844007239,-9.034511495658188e-5,0.0003101613671324286
0.007944999999999999,0.523113157212414,0.00029430202231992805,0.000491655207390316,0.00030800869104286456,0.5244841328082329,0.0002933649704441603,0.0003260606856826234,0.0003107115826502906
0.007977999999999999,0.5297223642616563,0.0002918638267436012,-0.0005475779705358391,0.0003107875304072496,0.5293119955779575,0.0002901660063542094,0.000504526638805136,0.00031220094538633795
0.008012,0.5353281023743374,0.0002871451712231098,0.00022425957571837297,0.00031164538921702725,0.5357505170214412,0.00028907274453944304,0.0003215777168937814,0.0003096651021745673
0.008045,0.54184341656563,0.00028461214772939404,-0.0001287415037404768,0.00030629417226562335,0.5411162756159301,0.00028533491050012185,0.00042284387792843655,0.00031174413480788017
0.008079,0.5467035617243085,0.00028438773940060144,-0.0001550465009046496,0.0003085455286185626,0.5469122735440293,0.00028534074771753906,-0.00010220623760134187,0.00031078564614410274
0.008113,0.5523826453562327,0.00028097674178450703,0.0004582490504788447,0.00030892041817859013,0.5534950444465768,0.00027871897829118044,0.0007132293770512011,0.00030612089897825404
0.008147,0.5579549798885735,0.0002755617390385713,7.995937942997027e-5,0.00030851584561487135,0.5585951526350083,0.0002742551037352025,-0.00031192518198885574,0.00030550431202939495
0.00832,0.5856703957305118,0.0002611233609735573,-0.00016480069697787255,0.00030887687295764213,0.5858779473197891,0.0002614207245382493,0.0001784874415940183,0.0003083211020959826
0.008496,0.6116011048111231,0.00024412232943125963,-0.00023747423496123607,0.00030733047914364644,0.6117793372885176,0.00024277167835275051,0.00043245669445261196,0.00030341313373890525
0.008589,0.6251482841640301,0.00023548901009869558,2.990241660114412e-5,0.0003039534696883526,0.6253396087853355,0.00023463166063509783,-0.000652213633347521,0.0003004481802008843
0.008676999999999999,0.6363456690046222,0.00023078134196710266,-0.0001966899688954346,0.000297610147160061,0.6365499711777911,0.00022640477880265142,0.0005302383754822011,0.0003009685575975011
0.008860999999999999,0.6585191519021597,0.00021259570647978547,-6.667207415817122e-6,0.0002957534615769049,0.6581139441302124,0.00021511746638606195,-0.0003778690399735441,0.00029500587038741263
0.009341,0.7091264484604721,0.0001806864272172256,-5.954524186494621e-5,0.00028445372696665457,0.7093821334684152,0.00018313186070906487,0.000735999928992317,0.00028277690611358086
0.01016,0.774201171536893,0.0001412108329802706,8.049557315786724e-5,0.00026106043062204705,0.7741578971095976,0.0001419633689944306,0.00016311980498439659,0.0002595533759459163
