Cycle 1,Cycle 2,Cycle 3
0.00066875,0.00075,0.00063125
0.00054375,0.0007125,0.00056875
0.0006125,0.0007125,0.000625
0.000625,0.00073125,0.00071875
0.000775,0.00071875,0.00065
0.0008,0.0007625,0.0007875
0.0007,0.0009625,0.001025
0.0009625,0.0011,0.00100625
0.00124375,0.00115625,0.001225
0.00140625,0.0012,0.0015
0.00148125,0.00176875,0.001625
0.001825,0.00191875,0.00186875
0.002325,0.00228125,0.0022625
0.00269375,0.00260625,0.0027125
0.003175,0.0033125,0.00308125
0.00360625,0.003875,0.00344375
0.0043875,0.0046875,0.00436875
0.004825,0.0048375,0.0049625
0.0058,0.00559375,0.005975
0.006175,0.0065,0.00696875
0.00715625,0.00739375,0.007425
0.00856875,0.00804375,0.00855625
0.0088625,0.00849375,0.009125
0.00965625,0.0092625,0.0096
0.01066875,0.00985625,0.0100625
0.01113125,0.0106125,0.01031875
0.0112375,0.0110625,0.0113
0.011725,0.01186875,0.0122125
0.01194375,0.01210625,0.01194375
0.01276875,0.0129125,0.0125625
0.0132125,0.01361875,0.0135125
0.01385,0.01391875,0.014525
0.015125,0.0150625,0.01448125
0.0158125,0.01461875,0.01561875
0.0155375,0.0161625,0.01571875
0.01640625,0.016425,0.01595
0.01623125,0.01650625,0.01585
0.01704375,0.016875,0.01695
0.01705,0.01793125,0.01746875
0.0179125,0.017625,0.0184
0.01866875,0.0183,0.01843125
0.01923125,0.01838125,0.0187
0.01875625,0.01918125,0.01869375
0.01870625,0.01954375,0.01855
0.01863125,0.019225,0.01906875
0.019775,0.01946875,0.0197875
0.0198375,0.01941875,0.0200625
0.019975,0.02054375,0.0199875
0.0198625,0.020025,0.0196375
0.0195125,0.01926875,0.019675
0.0198,0.019775,0.01990625
0.01993125,0.0197125,0.0201
0.01970625,0.02018125,0.01954375
0.019725,0.020025,0.02005625
0.0198875,0.01923125,0.0200125
0.0188375,0.01925,0.0189875
0.01924375,0.01921875,0.0192125
0.01889375,0.018825,0.01846875
0.01820625,0.018825,0.0185625
0.01844375,0.0178375,0.01890625
0.0181375,0.01821875,0.0181875
0.01695,0.01738125,0.01738125
0.017075,0.01739375,0.0171625
0.016325,0.016575,0.0162625
0.01585625,0.01624375,0.01615625
0.015925,0.01568125,0.01625
0.01535,0.0154625,0.0153875
0.0149375,0.01479375,0.01456875
0.01440625,0.01434375,0.0138875
0.01383125,0.01319375,0.0134375
0.01271875,0.0127375,0.01335
0.0121375,0.012125,0.01275625
0.0115,0.01155,0.01170625
0.01161875,0.01164375,0.01141875
0.0106875,0.010375,0.01116875
0.0096375,0.0101125,0.01029375
0.0093,0.00944375,0.0097125
0.008825,0.00859375,0.008875
0.008275,0.0081875,0.0080375
0.00726875,0.0073,0.00735
0.00648125,0.00678125,0.0066875
0.00578125,0.00566875,0.0055125
0.0054375,0.0050625,0.00474375
0.004425,0.00463125,0.0038125
0.004225,0.00370625,0.003575
0.00336875,0.0031375,0.002875
0.0027125,0.002625,0.0022
0.002075,0.00231875,0.00206875
0.0018125,0.00165625,0.00168125
0.00163125,0.00129375,0.0015875
0.00136875,0.00136875,0.0012625
0.0014125,0.001175,0.00116875
0.00095625,0.00109375,0.0009625
0.00093125,0.001075,0.00080625
0.0008,0.00070625,0.0007
0.0008625,0.000775,0.00070625
0.00066875,0.00078125,0.0006875
0.00069375,0.00063125,0.000575
0.00070625,0.00065625,0.000525
0.000725,0.00071875,0.000575
