Cycle 1,Cycle 2,Cycle 3
0.00195625,0.00191875,0.00200625
0.002065625,0.001946875,0.002059375
0.002,0.002128125,0.00219375
0.00204375,0.00225625,0.002140625
0.0021875,0.002234375,0.002303125
0.002384375,0.002575,0.00245
0.002446875,0.003003125,0.002503125
0.0028625,0.0028125,0.002590625
0.0032,0.003125,0.003096875
0.003421875,0.003375,0.003390625
0.0035625,0.00384375,0.003690625
0.0041875,0.004178125,0.00388125
0.004425,0.004521875,0.004475
0.00490625,0.005009375,0.004878125
0.005471875,0.0051875,0.00505625
0.00584375,0.005640625,0.005575
0.005915625,0.00599375,0.00596875
0.0065375,0.006725,0.006290625
0.00698125,0.00684375,0.007034375
0.00765,0.007628125,0.007346875
0.0078,0.007853125,0.007525
0.0082375,0.008534375,0.008309375
0.00890625,0.008709375,0.0090125
0.009515625,0.009184375,0.00953125
0.0098,0.009765625,0.0098125
0.010303125,0.010409375,0.01030625
0.010846875,0.010821875,0.0105875
0.011225,0.011153125,0.01165625
0.011621875,0.011765625,0.011878125
0.012578125,0.012621875,0.012521875
0.01275,0.01259375,0.01256875
0.01303125,0.0130875,0.013159375
0.01328125,0.013828125,0.013490625
0.014215625,0.0142,0.014303125
0.014628125,0.01464375,0.01454375
0.015134375,0.0144625,0.01469375
0.015159375,0.0153375,0.015184375
0.015575,0.015546875,0.015565625
0.015715625,0.0156,0.016109375
0.01609375,0.016184375,0.016190625
0.01674375,0.01665,0.016240625
0.0168,0.016746875,0.016953125
0.01695625,0.016846875,0.016928125
0.017315625,0.017384375,0.017371875
0.017525,0.017353125,0.017384375
0.017553125,0.0174,0.017684375
0.0175,0.01769375,0.017621875
0.017809375,0.0174875,0.0177375
0.0175,0.018003125,0.017703125
0.01798125,0.017821875,0.0178875
0.01778125,0.01801875,0.018015625
0.017509375,0.0179125,0.017775
0.01788125,0.017690625,0.0176
0.017625,0.017703125,0.017328125
0.0177875,0.017765625,0.0178125
0.0172375,0.017534375,0.01711875
0.0172,0.016803125,0.01756875
0.0168375,0.01683125,0.016734375
0.016725,0.016753125,0.016828125
0.016653125,0.01666875,0.01679375
0.01620625,0.01625,0.0159
0.015840625,0.015878125,0.0157625
0.01550625,0.01535,0.015665625
0.015484375,0.015178125,0.015390625
0.01498125,0.015071875,0.014971875
0.014171875,0.01440625,0.014565625
0.014034375,0.014084375,0.014021875
0.0138,0.0137125,0.013521875
0.013496875,0.013128125,0.013175
0.01228125,0.012403125,0.012778125
0.012578125,0.0127625,0.012046875
0.011415625,0.011646875,0.01183125
0.01123125,0.01129375,0.011559375
0.01109375,0.0109875,0.011046875
0.0104,0.010103125,0.010115625
0.009559375,0.009890625,0.009553125
0.00946875,0.009359375,0.009375
0.008628125,0.0086,0.0091
0.008290625,0.0083,0.008553125
0.008115625,0.0080125,0.008059375
0.007553125,0.0072375,0.007434375
0.007053125,0.00695625,0.00685625
0.0064875,0.00639375,0.006375
0.00601875,0.006159375,0.00596875
0.005465625,0.00568125,0.005540625
0.00554375,0.005275,0.0052
0.00490625,0.004834375,0.004946875
0.00418125,0.004559375,0.004459375
0.004078125,0.004040625,0.00399375
0.00370625,0.0036,0.003734375
0.00325625,0.003240625,0.003515625
0.003265625,0.00301875,0.003228125
0.00293125,0.00285625,0.00283125
0.002634375,0.002621875,0.00265625
0.002503125,0.0025375,0.002496875
0.002353125,0.00204375,0.00225
0.002028125,0.00213125,0.00224375
0.0022,0.002128125,0.002153125
0.001996875,0.001921875,0.002075
0.0018625,0.002025,0.002078125
