Cycle 1,Cycle 2,Cycle 3
0.017725,0.0172375,0.0180125
0.0170125,0.0176,0.017
0.018075,0.0175875,0.01775
0.01775,0.0169,0.0171875
0.01725,0.0171375,0.017775
0.0178125,0.0180875,0.0178375
0.0167625,0.0167125,0.017225
0.0172625,0.017375,0.0173125
0.0169875,0.017475,0.0166875
0.016425,0.016575,0.016575
0.01645,0.0167375,0.0156375
0.0161375,0.015575,0.0155625
0.015125,0.015675,0.0148
0.0154,0.0147375,0.01585
0.0149375,0.0145875,0.0155625
0.01415,0.0146375,0.014075
0.0136,0.0142875,0.0128375
0.0133125,0.0133875,0.01305
0.0138625,0.01395,0.0124875
0.0128125,0.0126125,0.013175
0.0122375,0.011875,0.0117875
0.0113875,0.0117125,0.0115875
0.0111,0.011425,0.0117
0.0111875,0.010775,0.0106125
0.0100625,0.0108,0.0107625
0.0107,0.0094875,0.0098375
0.0096625,0.0088125,0.0093
0.0088,0.008975,0.0092
0.0082875,0.008575,0.00815
0.007225,0.0078875,0.007625
0.0069125,0.0067625,0.0072125
0.006225,0.0069625,0.0065875
0.0065625,0.0059125,0.0063
0.0058125,0.005925,0.0052875
0.0050875,0.00545,0.0048625
0.0053375,0.004675,0.0057125
0.0047375,0.0049625,0.0041625
0.0043,0.0043375,0.004425
0.0044375,0.0037125,0.0040625
0.004,0.0034,0.0036625
0.003475,0.003725,0.003175
0.0032625,0.0033125,0.0035875
0.003325,0.003225,0.003025
0.0030625,0.0029125,0.002925
0.0031625,0.0033,0.002725
0.0027,0.002575,0.0025875
0.0022875,0.00295,0.002725
0.002475,0.002725,0.00255
0.00255,0.0024625,0.00265
0.0025,0.00275,0.0026375
0.0025375,0.0026875,0.0026625
0.0026375,0.0027375,0.0024
0.002725,0.002275,0.0022625
0.0025125,0.0021625,0.0031375
0.0027875,0.002475,0.0028
0.0029,0.0025625,0.0025625
0.0031125,0.0025,0.0025375
0.0034125,0.0026875,0.002625
0.00335,0.0026625,0.002925
0.00365,0.002825,0.00315
0.0034875,0.0034375,0.003575
0.0038875,0.003525,0.0037125
0.0044625,0.0039,0.003725
0.0047,0.0040375,0.0046625
0.0051625,0.004725,0.00435
0.0053875,0.005175,0.0054375
0.0055375,0.005375,0.0056625
0.0060125,0.0065375,0.005825
0.006725,0.0067625,0.006375
0.007325,0.0066125,0.0076875
0.0071875,0.00745,0.00775
0.00785,0.0079625,0.0081125
0.008575,0.00925,0.0084875
0.009025,0.0089625,0.00915
0.0093625,0.0103125,0.010025
0.01015,0.0104625,0.0107125
0.0106875,0.0114875,0.0114125
0.01135,0.0115375,0.0124625
0.0116875,0.0119,0.01215
0.0122375,0.0126,0.01285
0.01315,0.0128125,0.013275
0.013975,0.013275,0.013675
0.013625,0.0143,0.0142625
0.013275,0.013875,0.0137375
0.01485,0.0142875,0.0140625
0.01535,0.0152125,0.0144125
0.014825,0.0147625,0.0150125
0.015425,0.0148875,0.015425
0.016025,0.01615,0.0157875
0.0162125,0.0161375,0.0160875
0.0163625,0.0158625,0.0165
0.015875,0.0171375,0.017775
0.017725,0.0180875,0.0167625
0.0174125,0.017525,0.01745
0.0157125,0.0185875,0.017375
0.017875,0.0173875,0.0178125
0.017275,0.0180625,0.019175
0.017875,0.017125,0.0167875
0.01715,0.017975,0.0179625
0.0178875,0.017725,0.01765
