Cycle 1,Cycle 2
0.0,9.375e-6
0.0,1.5625e-5
0.0,6.25e-6
0.0,1.875e-5
0.0,1.25e-5
0.0,1.5625e-5
0.0,1.25e-5
0.0,2.1875e-5
0.0,3.4375e-5
0.0,5.0e-5
0.0,9.375e-5
0.0,7.8125e-5
0.0,0.000209375
0.0,0.000303125
0.0,0.00055
0.0,0.00079375
0.0,0.001225
0.0,0.00175
0.0,0.002528125
0.0,0.003690625
0.0,0.004971875
0.0,0.006821875
0.0,0.007953125
0.0,0.0087125
0.0,0.009425
0.0,0.009584375
0.0,0.010621875
0.0,0.01135
0.0,0.01304375
0.0,0.013296875
0.0,0.013934375
0.0,0.0145
0.0,0.01569375
8.125e-5,0.0167625
0.000509375,0.017228125
0.0027375,0.017578125
0.010371875,0.01854375
0.02124375,0.019225
0.025559375,0.019215625
0.0285,0.019953125
0.032828125,0.02095625
0.035521875,0.0206625
0.0372875,0.0216125
0.039875,0.022165625
0.041571875,0.021765625
0.043103125,0.0226125
0.044596875,0.022525
0.044846875,0.02235625
0.04555,0.02285
0.046053125,0.0229125
0.046109375,0.022778125
0.0452375,0.023196875
0.044978125,0.022565625
0.044725,0.022428125
0.04271875,0.022615625
0.0411625,0.02160625
0.04034375,0.02226875
0.037796875,0.021003125
0.0351,0.021384375
0.03264375,0.020059375
0.028440625,0.020609375
0.025353125,0.01955625
0.021440625,0.019196875
0.010415625,0.01835
0.002784375,0.01756875
0.000453125,0.0169
5.3125e-5,0.016428125
6.25e-6,0.015734375
0.0,0.0146375
0.0,0.014040625
0.0,0.01366875
0.0,0.01269375
0.0,0.01141875
0.0,0.010353125
0.0,0.0097875
0.0,0.009540625
0.0,0.008696875
0.0,0.007809375
0.0,0.006428125
0.0,0.00496875
0.0,0.0035875
0.0,0.00265625
0.0,0.001803125
0.0,0.001196875
0.0,0.000803125
0.0,0.000446875
0.0,0.000340625
0.0,0.000196875
0.0,0.000134375
0.0,0.0001
0.0,5.625e-5
0.0,3.125e-5
0.0,3.4375e-5
0.0,1.25e-5
0.0,1.25e-5
0.0,6.25e-6
0.0,3.125e-6
0.0,9.375e-6
0.0,1.875e-5
0.0,3.125e-6
