q,s,bin,autocorr,jmean,jerr
0.0002535,13.300003458078532,6,-0.01362413661160448,-7.439044455299065e-18,8.116514701541853e-17
0.0002697,13.200501908744656,6,-0.007773609918277709,8.034355082461379e-17,1.3678152256215447e-16
0.0002871,13.100078451205679,12,-0.0006805504407792162,8.503018535235687e-17,2.7884348544573636e-16
0.0003055,13.000299366606482,9,-0.0015471193309280382,1.4362306923748485e-16,4.419532238718921e-16
0.0003251,12.900417711220971,7,-0.004270810125373237,-4.554111518770966e-16,8.253214365215648e-16
0.000346,12.80033864897327,5,-0.0009474252140128222,-6.134143258169351e-18,1.3646412068215538e-15
0.0003683,12.700013668485369,12,-0.0002141541659007218,-8.267576563246929e-16,2.4675171404627656e-15
0.0003919,12.600251143912208,5,0.0009555443698946748,-5.392330113970423e-16,3.986281258994278e-15
0.0004171,12.500150641010192,6,-0.004660235835559508,-3.732392823928984e-15,7.447733720507324e-15
0.0004439,12.400124002191696,18,-0.00035191451030373616,-4.061873225696315e-15,1.434874803077147e-14
0.0004724,12.300172115382704,6,-0.0007547021282511099,3.742490766530542e-15,2.275600207719643e-14
0.0005027,12.20031545701172,9,-0.000751686635326015,3.253430268382046e-16,3.905734445170518e-14
0.000535,12.100289034137141,6,-0.00011697542831250995,-7.437959660238735e-15,6.807516248667357e-14
0.0005694,12.0001931380456,11,-0.007034120988294115,-1.0058090449184008e-13,1.266382682014795e-13
0.000606,11.900128751356744,12,-0.00199674666333667,-2.2720507977270146e-13,2.391995474633289e-13
0.0006449,11.800195324458684,8,-0.0075609468991597595,-2.447201001792334e-13,3.644129027866222e-13
0.0006862999999999999,11.700254984329709,8,-0.007561051664990241,7.721175760364522e-13,6.735039647591659e-13
0.0007304,11.600221649481185,6,-0.003997194565754363,-1.1043926084633263e-12,1.1271415441427043e-12
0.0007773,11.50025807803562,7,-0.004452043871277244,7.607697772854023e-16,1.9582487798340138e-12
0.0008273,11.40012269703451,6,-0.0044934853362770385,1.7727482406907883e-12,3.662019037091778e-12
0.0008803999999999999,11.300199416013424,7,-0.003064553489708841,-2.9266544154002596e-12,6.213007850735483e-12
0.0009369,11.200290206004214,5,-0.00022068668690912482,-7.966826264192856e-12,1.092545874036375e-11
0.0009971,11.100261636084312,6,-0.002606809638033422,-1.608141084930825e-12,1.8932537905369518e-11
0.0010609999999999999,11.000487560912347,6,-0.0010523932330831387,-6.880941023294373e-12,3.219915167183731e-11
0.001129,10.900706494116008,7,0.00010326008378746119,-1.163371651532897e-11,5.4516624352791606e-11
0.001202,10.800067487234191,6,-0.0014688776829226708,-2.808154596576344e-11,9.836794533406114e-11
0.001279,10.700332582601769,9,-0.0010858354735855046,1.690682975099303e-11,1.737627236399302e-10
0.001361,10.60051814505464,5,-0.0022165639270852722,4.894685902330762e-10,3.06061247681174e-10
0.001449,10.499880120036648,6,-0.002865706898181021,-2.5250372780901226e-10,5.029443296496234e-10
0.001542,10.399960616364167,9,-3.1125691086414865e-5,6.61230606363689e-10,9.66764936113222e-10
0.0016409999999999999,10.300010714106048,5,-0.0031593032242315487,-3.906495809839895e-10,1.5876783234158457e-9
0.001746,10.200388313260012,9,-0.004390326903449161,-3.0064060408781634e-9,2.8517332789441327e-9
0.0018579999999999998,10.1005225047148,6,-0.005699583424159496,3.5617289934302375e-9,5.156696981902298e-9
0.0019779999999999997,9.999994261987872,5,-0.004603840945036775,-4.488587502601606e-9,9.573574805452653e-9
0.002105,9.900038421468563,7,-0.00595500570966215,7.957401699891901e-9,1.5477712379394778e-8
0.00224,9.800193147638904,7,-0.0033229498443016455,-3.091626796848561e-9,2.818228014915746e-8
0.002384,9.70011740135694,5,-0.001095430026252499,-2.174826102512241e-8,4.812933846787216e-8
0.0025369999999999998,9.600204451817323,6,-0.005459273012259292,-6.736260096536815e-8,8.310163670854015e-8
0.0026999999999999997,9.500183946061366,6,-0.0017306583200715324,5.135192320463602e-8,1.387796830973428e-7
0.0028729999999999997,9.400427645342134,8,-0.003772412619117341,2.0452542630831464e-8,2.6680551634787683e-7
0.003058,9.300190560390881,8,-0.0033765286922615547,-4.750874996979076e-8,4.7875996774119e-7
0.003254,9.200403910656746,7,-0.002303306096432971,5.042302784990527e-7,7.964560171180361e-7
0.003463,9.100414302397139,6,0.0005554359946264372,-8.794656236327016e-7,1.3700891366310726e-6
0.003686,9.000173577168333,8,-0.001408017205138025,-1.2732144696614455e-6,2.406555374880629e-6
0.003922999999999999,8.900080283154104,5,-0.002798092769686943,-2.7496276903159096e-6,4.0962285967111306e-6
0.004175,8.800078733290079,10,5.497190734126804e-5,2.2866197476558873e-6,7.826225788330045e-6
0.004443,8.700145008104672,9,-0.0015320059208247829,-9.391369104504082e-6,1.3351553750812023e-5
0.0047279999999999996,8.600280367022407,6,-0.003295945140859725,4.249219649707983e-6,2.2562907077555742e-5
0.005032,8.500186380208241,7,-0.014373557574102731,-5.906839320153415e-6,4.098512220242304e-5
0.0053549999999999995,8.40025631912392,9,-0.010571463147494376,-7.369129537656289e-5,7.08594044355069e-5
0.005699,8.300251033313774,7,-0.0057215098014793166,6.561370190805637e-5,0.0001229341621351671
0.006065,8.200271761415687,6,0.0007965873901038741,-4.6452010647426295e-5,0.0002123151851395597
0.006455,8.100169353650772,7,-0.005715076441297053,-0.00019030297540563264,0.0003706980534630487
0.006869,8.000319080842322,7,-0.014770683895495459,0.00014167245883590855,0.0006785541418229435
0.007311,7.900150742567791,7,0.0009514113161035399,-0.00022194967545135157,0.001233475814269545
0.00778,7.800279967643722,8,-0.009965030390707947,2.1326308429124887e-5,0.0019610937338664642
0.00828,7.700231934237694,10,-0.0028008913960997886,-0.0005640393656060525,0.00381000676764642
0.008812,7.600208267136914,5,0.0007709468457536701,-0.0012685547816057331,0.006379416489978128
0.009378,7.5002157112377965,8,-0.010717010926532627,0.005614373452208012,0.011554679078770403
0.00998,7.40028021274195,6,0.00040395707794132563,-0.02330975439027075,0.01820109026330178
0.010620000000000001,7.300442124067143,6,-0.0009426811890794384,-0.004466778804580641,0.032434574404548895
0.011300000000000001,7.200752156875065,8,-0.0032192642914451912,0.01344011306887461,0.05977539134693426
0.01203,7.1001994807088105,11,-0.003656656660405239,-0.03764394222800324,0.1065797878819351
0.0128,7.000544961839947,12,-0.003875099796997917,0.016358989711444137,0.21401052850731275
0.012960000000000001,6.98059126243969,6,-0.005680989316061153,-0.15697751619459588,0.20892117336733448
0.013130000000000001,6.959658588670868,8,-0.0010860765293452025,-0.1379874498681978,0.22923362474490128
0.013290000000000001,6.9402033664748375,10,-0.0019285606682833106,0.09802671076298296,0.29781763265669114
0.013460000000000001,6.919787176496401,10,-0.0029199765441497868,-0.12255841277233448,0.29651297488973416
0.013630000000000001,6.899627231922042,9,-0.004288153926006461,-0.06123638281386596,0.3431506755991522
0.013800000000000002,6.87971718008488,8,0.0007302462266981735,-0.4151404492048914,0.3987284439900864
0.013970000000000002,6.860050901665173,13,-0.002935890437618689,0.26009091057861217,0.46207937351187944
0.014140000000000002,6.840622499399962,8,-0.00747742540332524,0.05930138875434742,0.4955438424333573
0.014320000000000001,6.820304211176234,8,-0.003276638465941824,0.3017115426589754,0.5454038897485364
0.0145,6.800239731945906,10,-0.0030319777038339594,0.1824617441347848,0.6452149481690976
0.01468,6.78042279887427,11,0.00042934532029569066,0.10697557730991257,0.6915339347849588
0.014870000000000001,6.759766818268499,12,-0.0012402746319931139,-0.09643782070706039,0.8231893334353487
0.015050000000000001,6.740440021854761,11,-0.000555535121088026,1.2896649614677058,0.9607507782095704
0.015240000000000002,6.720288690692276,13,-0.010136824141552639,0.23281801084405848,0.9906530577948949
0.015430000000000001,6.700387040096987,21,-0.0012448112811787929,0.35065285308908617,1.1416947146345233
0.01563,6.679700957084983,16,-0.0008627428159749665,0.8317347100223625,1.1598195754926883
0.01582,6.660292904899533,11,-0.0010530132670801653,1.6045900089235714,1.1824661407468222
0.016020000000000003,6.640113592443846,17,-0.005495102549296693,2.032148294670134,1.3030980194100712
0.016220000000000002,6.620184650130012,9,-0.002987703521061688,3.0721726063863355,1.2313055873656282
0.01642,6.6004999412016545,9,-0.0012939545121955541,3.418033903324735,1.2080004022232784
0.016630000000000002,6.580087385064912,11,-0.00481124487471813,2.9063186366437908,1.186348164040668
0.01684,6.559930983694077,7,0.0006546972171360028,3.1999640589632543,1.1139150106557378
0.017050000000000003,6.5400243877716475,16,-0.0020858618516604757,2.0640336925990668,1.1816129934226904
0.01726,6.520361481164247,10,0.0007456412537922974,2.813383339750144,1.1999598445103175
0.017480000000000002,6.500017198146016,5,-0.0004917837278570486,3.379181838396914,1.0412017840075896
0.0177,6.47992736991433,6,-0.0006343761498203341,3.4419195516026555,1.009693815793414
0.017920000000000002,6.460085709864415,11,-0.004816045309748465,2.2178620634958475,1.0522833863341108
0.01814,6.440486161528432,4,0.0006571140145401421,2.782328297889363,0.9478753848231268
0.01837,6.4202482606413,10,-0.002138383189903139,3.876476328872304,1.1299565026276197
0.018600000000000002,6.400262176798751,5,-0.003325119069761601,3.053999277806474,0.9470679221614137
0.018830000000000003,6.380521720298975,5,-0.011328329848931987,2.917134269741506,0.8970934194833706
0.0198,6.299838719259774,4,-0.0004757826589359558,3.359285786116808,0.9087567271232829
0.021070000000000002,6.199980769879231,2,-0.008449412886622314,3.380706366196202,0.856162229293333
0.022420000000000002,6.1002273879754645,2,-0.00922409478077513,2.815273208528732,0.8511283871802461
0.023860000000000003,6.000238193482689,6,0.0006892038918649787,3.6261157166495566,0.8644043932767127
0.025400000000000002,5.899773936539463,2,-0.004281689881720936,2.769311603847005,0.802223270985418
0.027030000000000002,5.799867966406639,1,-0.010463837653628438,4.083792951842332,0.8330827059916531
0.02876,5.7002190186217465,1,-0.006531258897228382,2.8980019955164678,0.8044359042512957
0.030610000000000002,5.600083300075563,3,-0.004818710718713427,2.6472805872599428,0.7976627835147186
0.032580000000000005,5.499898381846098,2,-0.0032877609890364996,4.593483257235678,0.8513394347033132
0.03467,5.40002779703175,2,-0.010185509335808314,3.150493253143195,0.829669328247914
0.0369,5.299899192182668,2,-0.014573071011542763,2.361680032437087,0.8086094424541428
0.039270000000000006,5.1999110923223295,7,-0.005694448128793812,3.0226505967013546,0.8396560915103148
0.04179,5.100008299989048,3,-0.002425405804514331,2.7474323795348576,0.8012254292001865
0.04447,5.000167315928518,1,-0.0019472959394327405,3.101473039741044,0.8592769142988743
0.047330000000000004,4.900050359546104,2,-0.006363142902553013,2.613310363016663,0.8355295819350628
0.050370000000000005,4.8000588892933695,2,-0.005672461369042846,3.8613241718835662,0.895074026098739
0.053610000000000005,4.69992535849889,10,-0.0015363492423498461,2.9306291536907256,0.9146494329991117
0.057050000000000003,4.6000285886494385,70,0.0008112455002402619,2.388854095576486,2.312662522040827
0.06072,4.499886707436102,525,0.0009779089752883722,8.278717719798424,9.26547915462346
0.06462000000000001,4.3998961825116245,14,-0.0002798762610714915,2.9703885283782574,1.2283532315529653
0.06877000000000001,4.299917197502632,6,0.0005423897686004604,2.350844989954652,0.8661736335591093
0.07318000000000001,4.200081308158223,2,-0.003854983451137543,2.6509016005028054,0.8624703371215889
0.07788,4.100096897265551,3,-0.0005925096779774325,2.746044430463479,0.8345714839375362
0.08289,3.9999547103500723,3,0.0008493186794284453,3.102238053612959,0.8502005955039208
0.08821000000000001,3.90003633769651,23,-0.003731359113151464,3.2790186649246347,1.4384895873633032
0.09388,3.799971590425301,143,0.0006254769541425202,1.4428043529090964,2.531274115206753
0.09991000000000001,3.699978523682093,8,-0.0007475957453964767,3.276319615158102,1.0072403910798204
0.1063,3.6003981114019292,2,-0.005169298552335182,3.1265673117772006,0.8201859357101352
0.11320000000000001,3.4993794997927385,14,-0.0012311229560701333,2.473810608704451,1.096426545339536
0.12040000000000001,3.4003325840802745,6,0.0003953965855888928,1.836720406979498,0.9803206768382958
0.1282,3.2995049057511068,110,-0.0012114381433131816,3.52456047496287,2.383258666947645
3.766,-2.129911917282729,16,-0.0012520047825115108,2.7659048930893055,1.2125511456223939
4.539,-2.429788420099771,11,-0.0020413895236060567,3.502858510696293,1.3826840756598089
4.83,-2.5296005175263065,10,-0.00028295942231041076,3.3506366087832493,1.0158751184979744
5.141,-2.6298324912212703,6,-0.005173973391192946,3.0186523732068875,0.8828760291689766
5.471,-2.7297635441771306,2,-0.00037011160785449895,2.4429730001017402,0.8320017617571441
5.822,-2.8296442061656153,448,0.0003599005636481647,1.2253525503313667,4.025320167620717
6.196,-2.9296495887974934,3,-0.004752534514566667,1.9519016694341638,0.8081307584467281
6.594,-3.0296487791084608,2,-0.0026476472161960753,2.5379291566467796,0.7669333116745889
7.018,-3.1297474131588676,5,-0.005514964947489484,2.0475393452086186,0.8443760141793539
7.469,-3.229789365305579,44,-0.0027633382154987453,4.346696540318908,1.875587621248519
7.949,-3.329834801416631,10,-0.010911850609928787,3.4191217999228494,1.130696750141703
8.459,-3.4297193159834736,7,0.0004979907777720851,2.6913031320815937,0.9786531641996017
9.003,-3.5298320196670203,81,-0.0015691280146912776,2.8399501254246395,3.167810600572863
9.581,-3.629779638759117,15,-0.0009552047637204573,3.124814213207682,1.3432504634968474
10.200000000000003,-3.7303402584095533,4,-0.008527481118706775,3.664395281962668,0.9239854838484188
10.850000000000001,-3.829570274965249,2,0.0008974607393099131,2.63171654486015,0.8106187498243099
