q,s,bin,autocorr,jmean,jerr
0.001006,19.523838918281577,7,-0.0040685533455538,-8.493400944503181e-13,9.451953855414696e-13
0.001042,19.424378149297404,8,-0.0006021691127620438,-1.61260499893309e-12,1.0400543764663048e-12
0.00108,19.323052551550735,7,-0.005620998120392751,2.8769722708849256e-12,1.1809093135129213e-12
0.001119,19.222702073490314,8,-0.005716455730501521,1.224779483860963e-12,1.2883865643336128e-12
0.0011589999999999999,19.123348054435667,7,-0.003222579557643313,-1.3708774579611152e-12,1.4141387441714032e-12
0.0012,19.025007154481848,9,-0.005822363134929846,1.620742456781173e-12,1.6620611659231454e-12
0.0012439999999999999,18.9231402920888,8,-0.0026949527910191,2.927971225715409e-13,1.7897333330928154e-12
0.0012879999999999999,18.824814551955374,6,0.0009924581392225626,-2.605125482476564e-12,1.9405754203355233e-12
0.001335,18.723427946953674,7,-0.0014233570057198652,-2.597753290108135e-12,2.2536564328587492e-12
0.001383,18.62350356582349,6,-0.005304622781600359,8.816810589591364e-13,2.3716902284109807e-12
0.001433,18.523037932451487,5,-0.005534972031800299,8.618257479950755e-13,2.604030337507422e-12
0.0014839999999999999,18.424111458016725,7,-0.006423713590156207,-3.391619795794795e-13,2.9801776394076738e-12
0.001537,18.32484460950596,10,-0.012208697329653649,-1.3143585841631805e-12,3.4705912172595625e-12
0.001593,18.223611037163252,7,-0.00220263003461986,-2.3232467456365822e-12,3.673668250534798e-12
0.00165,18.124160493408763,9,-0.0003438433102154516,-5.049869215048214e-14,4.132509455924495e-12
0.00171,18.023120648973592,7,-0.00038051102766020474,-2.6015078288316596e-12,4.675268011549594e-12
0.001771,17.923967890882288,8,-0.00024982416310751295,3.4884537797350677e-12,5.179505128303787e-12
0.0018349999999999998,17.823544614650253,7,-0.007827882819777532,-9.207577296605744e-13,5.702571907609166e-12
0.001901,17.72358679362002,6,-0.0005464357411747862,4.168470111794706e-12,6.150603239256346e-12
0.001969,17.624166011357225,7,7.312779063737829e-5,-1.279090251712102e-12,7.116658721116027e-12
0.0020399999999999997,17.52395804897622,7,-0.0039718856138354465,-5.613635903435406e-12,7.967655169994968e-12
0.002113,17.424499941555624,9,-0.002002640588649179,-9.962018987961941e-13,8.72553290365143e-12
0.002189,17.324540712038512,8,0.00039272962826481027,3.3283781120488607e-12,9.809162378902851e-12
0.002268,17.22424913236231,16,0.0003847208522917008,-6.109812785132046e-12,1.1451964402320842e-11
0.00235,17.123778276638316,17,-6.587493683366217e-5,6.516977718548556e-12,1.2845970011117743e-11
0.002434,17.024428412033732,9,0.0002134492112656584,4.036736788188707e-12,1.3692792530027868e-11
0.002522,16.923959534537257,12,-0.0023718965214902126,-2.8635887333575166e-11,1.6059654088048954e-11
0.002613,16.823687242651847,7,0.00040869521469167437,-1.2554234497241533e-11,1.5969025811324585e-11
0.0027069999999999998,16.723711198130285,9,-0.0027276616241156616,-4.360617749003903e-11,1.8307156547615695e-11
0.002804,16.62412005787452,13,-0.004672056766758412,-5.823110711332691e-11,2.14506012207959e-11
0.002905,16.52401842235058,10,-0.004732536447843703,-3.747426511558081e-11,2.3445204585423822e-11
