Cycle 1,Cycle 2
6.875e-5,8.125e-5
0.0001125,5.625e-5
6.875e-5,8.75e-5
7.5e-5,8.75e-5
0.0001375,0.00014375
8.125e-5,0.0001375
0.00020625,0.00019375
0.0001375,0.0001375
0.000225,0.00026875
0.0002625,0.00020625
0.00038125,0.0003625
0.000325,0.00043125
0.000675,0.00055
0.0006,0.0007625
0.00080625,0.00095625
0.00125,0.00111875
0.001425,0.00168125
0.002,0.00205
0.00266875,0.0027375
0.0035125,0.00341875
0.00445,0.00408125
0.005275,0.00511875
0.00656875,0.00643125
0.00825,0.00809375
0.00940625,0.00906875
0.01055625,0.01000625
0.0116625,0.01188125
0.01175,0.01233125
0.0129,0.0132625
0.013325,0.01301875
0.014075,0.01349375
0.01390625,0.01380625
0.014975,0.0149375
0.0167125,0.01681875
0.01715625,0.0174
0.01849375,0.01809375
0.01805,0.018325
0.0186625,0.01846875
0.01958125,0.01989375
0.01948125,0.0197125
0.02025,0.0206125
0.0211625,0.02143125
0.0220625,0.02133125
0.021225,0.02128125
0.02154375,0.0215125
0.021775,0.0227625
0.023075,0.022775
0.02325625,0.02363125
0.02294375,0.02233125
0.02244375,0.02216875
0.022425,0.0224125
0.02265,0.0224125
0.02311875,0.02263125
0.02215625,0.02318125
0.02191875,0.02198125
0.02210625,0.021875
0.02094375,0.02228125
0.0216,0.020825
0.021275,0.02163125
0.02084375,0.0204625
0.01983125,0.01966875
0.0192875,0.019075
0.0189125,0.0188625
0.0183,0.01868125
0.01848125,0.01820625
0.0173875,0.01724375
0.01678125,0.01575
0.01500625,0.01574375
0.01429375,0.0144875
0.01374375,0.0136375
0.013,0.0134
0.01280625,0.012825
0.01235625,0.01199375
0.0116625,0.01110625
0.01048125,0.01049375
0.00944375,0.00954375
0.0078625,0.00814375
0.00658125,0.00691875
0.0055,0.00539375
0.0044625,0.0042125
0.00316875,0.00315
0.0025875,0.00253125
0.00208125,0.00219375
0.0015375,0.00168125
0.00124375,0.0013125
0.0009625,0.00095
0.00068125,0.00080625
0.00049375,0.00051875
0.00036875,0.00044375
0.0003625,0.0003625
0.0001875,0.00031875
0.000225,0.0002625
0.00016875,0.00018125
0.00015625,0.00010625
0.00013125,0.00018125
0.00011875,9.375e-5
0.0001,5.625e-5
7.5e-5,5.625e-5
6.875e-5,9.375e-5
6.875e-5,6.875e-5
