Cycle 1,Cycle 2,Cycle 3
0.0,0.0,0.000978125
0.0,0.0,0.001028125
0.0,0.0,0.001009375
0.0,0.0,0.001165625
0.0,0.0,0.001225
0.0,0.0,0.001334375
0.0,0.0,0.00155625
0.0,0.0,0.00180625
0.0,0.0,0.0019375
0.0,0.0,0.00231875
0.0,0.0,0.0026625
0.0,0.0,0.002971875
3.125e-6,0.0,0.00351875
3.125e-6,0.0,0.004078125
0.0,3.125e-6,0.0043875
6.25e-6,6.25e-6,0.004828125
1.25e-5,1.25e-5,0.005278125
3.75e-5,3.4375e-5,0.00600625
5.3125e-5,5.3125e-5,0.00631875
0.00016875,0.000128125,0.006959375
0.000246875,0.0003125,0.007446875
0.000553125,0.00061875,0.007721875
0.00123125,0.001125,0.0082375
0.002371875,0.002159375,0.00909375
0.004025,0.004034375,0.0095875
0.00635,0.00638125,0.010478125
0.00894375,0.00891875,0.01093125
0.01113125,0.011396875,0.011384375
0.012025,0.012084375,0.01210625
0.012440625,0.012575,0.01249375
0.0135875,0.013415625,0.0132125
0.015175,0.01508125,0.013509375
0.016609375,0.016975,0.014309375
0.017428125,0.017225,0.0148625
0.0181375,0.0180625,0.014934375
0.0190875,0.019615625,0.01554375
0.0204875,0.020440625,0.01611875
0.020934375,0.021078125,0.01655625
0.022234375,0.02233125,0.016603125
0.0227,0.0223125,0.0175125
0.023096875,0.023640625,0.01765625
0.024625,0.023871875,0.01774375
0.024440625,0.024471875,0.017796875
0.0250625,0.025003125,0.01835625
0.025553125,0.025496875,0.018909375
0.025421875,0.02554375,0.01883125
0.0263875,0.026121875,0.0190125
0.02631875,0.0261875,0.0191625
0.0266,0.026565625,0.0189625
0.026378125,0.02669375,0.019190625
0.02684375,0.026371875,0.0194375
0.0264875,0.02660625,0.018803125
0.02584375,0.0262625,0.019225
0.026821875,0.0263875,0.0188875
0.025378125,0.025821875,0.01864375
0.025703125,0.02529375,0.019209375
0.024921875,0.024821875,0.018134375
0.024328125,0.024571875,0.018071875
0.024253125,0.024540625,0.01781875
0.023159375,0.0228875,0.01760625
0.022865625,0.022653125,0.017215625
0.022021875,0.022271875,0.016940625
0.02065625,0.020978125,0.016534375
0.0207125,0.020290625,0.016203125
0.01935,0.019796875,0.015559375
0.0181125,0.0180625,0.015471875
0.01715,0.017115625,0.014709375
0.016828125,0.016965625,0.01408125
0.015634375,0.015225,0.0136125
0.013396875,0.013490625,0.013540625
0.012478125,0.012659375,0.012284375
0.01196875,0.012059375,0.01194375
0.011134375,0.010921875,0.0115625
0.00926875,0.008859375,0.010634375
0.006165625,0.00641875,0.010240625
0.004121875,0.004046875,0.009596875
0.002296875,0.002271875,0.009346875
0.001278125,0.001225,0.008728125
0.0005,0.00060625,0.00800625
0.000240625,0.000284375,0.0071875
0.000115625,0.00015625,0.006728125
5.0e-5,6.5625e-5,0.006415625
2.8125e-5,2.1875e-5,0.005965625
9.375e-6,6.25e-6,0.005471875
3.125e-6,3.125e-6,0.00486875
0.0,0.0,0.004315625
3.125e-6,0.0,0.00384375
0.0,0.0,0.003553125
0.0,0.0,0.003003125
0.0,0.0,0.002675
0.0,0.0,0.00225625
0.0,0.0,0.001896875
0.0,0.0,0.00185
0.0,0.0,0.001615625
0.0,0.0,0.00130625
0.0,0.0,0.00116875
0.0,0.0,0.0011625
0.0,0.0,0.0010625
0.0,0.0,0.001034375
0.0,0.0,0.000934375
