Cycle 1,Cycle 2,Cycle 3
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,9.375e-6
0.0,0.0,1.875e-5
0.0,0.0,4.0625e-5
0.0,0.0,9.375e-5
0.0,0.0,0.0002125
3.125e-6,0.0,0.000509375
3.125e-6,3.125e-6,0.000765625
3.4375e-5,1.875e-5,0.001878125
7.1875e-5,4.375e-5,0.00331875
0.000171875,0.0002375,0.00548125
0.000484375,0.0005625,0.007978125
0.001403125,0.001503125,0.01023125
0.003353125,0.003396875,0.011690625
0.006290625,0.0064375,0.0119875
0.0101,0.010425,0.012778125
0.01339375,0.013325,0.01424375
0.015121875,0.014540625,0.01568125
0.0151625,0.0153,0.0170375
0.01715,0.016725,0.016903125
0.01954375,0.019578125,0.0182
0.019965625,0.02008125,0.0196375
0.021371875,0.02139375,0.019884375
0.023384375,0.0230625,0.02070625
0.023634375,0.02371875,0.02173125
0.024475,0.0247625,0.021759375
0.02574375,0.02624375,0.022784375
0.026578125,0.02606875,0.023875
0.02753125,0.02795,0.023590625
0.0279875,0.02803125,0.024746875
0.028721875,0.02864375,0.02445
0.02890625,0.029015625,0.02534375
0.029665625,0.0296875,0.025771875
0.029471875,0.0295125,0.024984375
0.029953125,0.030109375,0.02581875
0.029990625,0.0297375,0.025353125
0.030309375,0.030096875,0.025434375
0.029690625,0.029840625,0.026303125
0.029896875,0.029840625,0.025209375
0.029771875,0.02951875,0.0254625
0.02914375,0.029,0.0250125
0.028828125,0.028571875,0.02488125
0.02765,0.028125,0.024403125
0.027528125,0.027471875,0.0236625
0.02661875,0.026375,0.023753125
0.025759375,0.0264125,0.023075
0.024821875,0.024575,0.022071875
0.023434375,0.0234875,0.021896875
0.023096875,0.023296875,0.020846875
0.02131875,0.0211875,0.019803125
0.020184375,0.020540625,0.01945
0.01969375,0.019075,0.018440625
0.01698125,0.01701875,0.0167375
0.015459375,0.015159375,0.0170125
0.01469375,0.01478125,0.015590625
0.0136125,0.013625,0.013965625
0.01018125,0.0101,0.01256875
0.006409375,0.006265625,0.01210625
0.00300625,0.00335,0.011740625
0.001425,0.001375,0.010478125
0.00058125,0.000528125,0.00806875
0.000178125,0.00018125,0.005425
5.0e-5,5.3125e-5,0.00345625
3.125e-6,6.25e-6,0.00190625
3.125e-6,1.875e-5,0.0008875
0.0,0.0,0.000415625
0.0,3.125e-6,0.000265625
0.0,3.125e-6,0.000103125
0.0,0.0,3.4375e-5
0.0,0.0,2.5e-5
0.0,0.0,6.25e-6
0.0,0.0,3.125e-6
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
